N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.85            1.000000        3203            OK             
1          0               2               256             0               2167816         BEST            0.90            1.000000        3203            OK             
1          0               2               256             0               2167816         BEST            0.95            1.000000        3203            OK             
171        0               2               256             0               2167816         BEST            0.50            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.55            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.60            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.65            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.70            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.75            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.80            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.85            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.90            0.072865        3567            NO             
1          0               2               256             0               2167816         BEST            0.95            0.072865        3567            NO             
181        0               2               256             0               2167816         BEST            0.50            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.55            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.60            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.65            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.70            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.75            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.80            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.85            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.90            0.188254        3210            NO             
1          0               2               256             0               2167816         BEST            0.95            0.188254        3210            NO             
191        0               2               256             0               2167816         BEST            0.50            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.55            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.60            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.65            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.70            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.75            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.80            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.85            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.90            0.134768        3206            NO             
1          0               2               256             0               2167816         BEST            0.95            0.134768        3206            NO             
201        0               2               256             0               2167816         BEST            0.50            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999943        3223            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999943        3223            OK             
211        0               2               256             0               2167816         BEST            0.50            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999362        3192            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999362        3192            OK             
221        0               2               256             0               2167816         BEST            0.50            1.000000        3312            OK             
1          0               2               256             0               2167816         BEST            0.55            1.000000        3312            OK             
1          0               2               256             0               2167816         BEST            0.60            1.000000        3312            OK             
1          0               2               256             0               2167816         BEST            0.65            1.000000        3312            OK             
1          0               2               256             0               2167816         BEST            0.70            1.000000        3312            OK             
