N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.55            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999958        3350            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999958        3350            OK             
101        0               2               256             0               2167816         BEST            0.50            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999998        4162            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999998        4162            OK             
111        0               2               256             0               2167816         BEST            0.50            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999978        3191            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999978        3191            OK             
121        0               2               256             0               2167816         BEST            0.50            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999788        3205            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999788        3205            OK             
131        0               2               256             0               2167816         BEST            0.50            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999850        3191            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999850        3191            OK             
141        0               2               256             0               2167816         BEST            0.50            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.55            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.60            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.65            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.70            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.75            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.80            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.85            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.90            1.000000        3205            OK             
1          0               2               256             0               2167816         BEST            0.95            1.000000        3205            OK             
151        0               2               256             0               2167816         BEST            0.50            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999632        3186            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999632        3186            OK             
