N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.55            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.60            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.65            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.70            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.75            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.80            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.85            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.90            0.078330        3220            NO             
1          0               2               256             0               2167816         BEST            0.95            0.078330        3220            NO             
101        0               2               256             0               2167816         BEST            0.50            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.55            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.60            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.65            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.70            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.75            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.80            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.85            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.90            0.034326        3423            NO             
1          0               2               256             0               2167816         BEST            0.95            0.034326        3423            NO             
111        0               2               256             0               2167816         BEST            0.50            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.55            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.60            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.65            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.70            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.75            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.80            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.85            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.90            0.007046        3463            NO             
1          0               2               256             0               2167816         BEST            0.95            0.007046        3463            NO             
121        0               2               256             0               2167816         BEST            0.50            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.55            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.60            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.65            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.70            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.75            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.80            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.85            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.90            0.131340        3640            NO             
1          0               2               256             0               2167816         BEST            0.95            0.131340        3640            NO             
131        0               2               256             0               2167816         BEST            0.50            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000013        4181            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000013        4181            NO             
141        0               2               256             0               2167816         BEST            0.50            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000004        3208            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000004        3208            NO             
